genes,uid,snp_class,fxn_class,chr,chrpos,global_mafs,allele,clinical_significance,acc
,12467316,snv,,2,2:101988187," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Daghestan""     
 [5] ""Estonian""       ""GENOGRAPHIC""    ""GENOME_DK""      ""GnomAD""        
 [9] ""GoNL""           ""HGDP_Stanford""  ""HapMap""         ""KOREAN""        
[13] ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB36033""     ""Qatari""        
[17] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[21] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",V,,NC_000002.12
,4667572,snv,,2,2:168299490," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GnomAD""        
 [5] ""GoNL""           ""KOREAN""         ""Korea1K""        ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",D,,NC_000002.12
"[1] ""BALR6""        ""LOC124909351""
",13078687,snv,"non_coding_transcript_variant,intron_variant",3,3:18181950," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Estonian""      
 [5] ""GENOME_DK""      ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",V,,NC_000003.12
,77669894,snv,,12,12:32089513," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""NorthernSweden"" ""TOPMED""        
 [9] ""TWINSUK""        ""ALFA""          
",R,,NC_000012.12
,181870458,snv,,3,3:145333493,"[1] ""1000Genomes""    ""Estonian""       ""GENOME_DK""      ""GnomAD""        
[5] ""NorthernSweden"" ""SGDP_PRJ""       ""Siberian""       ""TOPMED""        
[9] ""ALFA""          
",V,,NC_000003.12
"[1] ""SLC2A13""
",28370664,snv,intron_variant,12,12:40019503," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",H,,NC_000012.12
"[1] ""SPTSSB""
",1450522,snv,"upstream_transcript_variant,5_prime_UTR_variant,genic_upstream_transcript_variant",3,3:161359842," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""PRJEB36033""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",R,,NC_000003.12
"[1] ""CCDC62""
",11060112,snv,intron_variant,12,12:122807956," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HGDP_Stanford""  ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""PAGE_STUDY""    
[13] ""PRJEB36033""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[17] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[21] ""ALFA""          
",N,,NC_000012.12
"[1] ""TMEM175""
",34884217,snv,"genic_upstream_transcript_variant,5_prime_UTR_variant,splice_acceptor_variant,coding_sequence_variant,upstream_transcript_variant,missense_variant",4,4:950422," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""ExAC""          
 [5] ""FINRISK""        ""GENOME_DK""      ""GnomAD""         ""GnomAD_exomes"" 
 [9] ""GoESP""          ""GoNL""           ""MGP""            ""NorthernSweden""
[13] ""PAGE_STUDY""     ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""      
[17] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",M,benign,NC_000004.12
"[1] ""FAM47E""       ""FAM47E-STBD1""
",12643261,snv,intron_variant,4,4:76255695," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""ALFA""          
",H,,NC_000004.12
"[1] ""LOC105377329""
",10516839,snv,intron_variant,4,4:89587189," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Daghestan""     
 [5] ""Estonian""       ""GENOME_DK""      ""GnomAD""         ""GoNL""          
 [9] ""HGDP_Stanford""  ""HapMap""         ""KOREAN""         ""Korea1K""       
[13] ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB36033""     ""Qatari""        
[17] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[21] ""TWINSUK""        ""ALFA""          
",K,,NC_000004.12
"[1] ""SLC39A8""
",13107325,snv,"coding_sequence_variant,missense_variant,genic_downstream_transcript_variant",4,4:102267552," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Daghestan""     
 [5] ""Estonian""       ""FINRISK""        ""GENOME_DK""      ""GnomAD""        
 [9] ""GoESP""          ""GoNL""           ""HGDP_Stanford""  ""HapMap""        
[13] ""MGP""            ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB36033""    
[17] ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[21] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",H,benign,NC_000004.12
"[1] ""LOC105377374""
",17483653,snv,intron_variant,4,4:113422713," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Daghestan""     
 [5] ""Estonian""       ""GENOME_DK""      ""GnomAD""         ""GoNL""          
 [9] ""HGDP_Stanford""  ""HapMap""         ""KOREAN""         ""NorthernSweden""
[13] ""PAGE_STUDY""     ""PRJEB36033""     ""Qatari""         ""SGDP_PRJ""      
[17] ""Siberian""       ""TOPMED""         ""TWINSUK""        ""ALFA""          
",M,,NC_000004.12
"[1] ""ELOVL7""
",1867598,snv,"intron_variant,genic_upstream_transcript_variant",5,5:60842132," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",V,,NC_000005.10
,6875262,snv,,5,5:124774580," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GoNL""           ""KOREAN""         ""Korea1K""        ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOPMED""        
[13] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",N,,NC_000005.10
,2647062,snv,,6,6:32602640," [1] ""1000Genomes""    ""GENOME_DK""      ""GnomAD""         ""GoNL""          
 [5] ""HapMap""         ""KOREAN""         ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[13] ""ALFA""          
",H,,NC_000006.12
"[1] ""MYLK2""
",6060983,snv,intron_variant,20,20:31833121," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""Korea1K""        ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",Y,,NC_000020.11
"[1] ""DYRK1A""
",11701722,snv,"genic_upstream_transcript_variant,intron_variant",21,21:37398228," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""KOREAN""         ""Korea1K""        ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",H,,NC_000021.9
"[1] ""TRPM2""
",56379273,snv,"missense_variant,non_coding_transcript_variant,genic_upstream_transcript_variant,coding_sequence_variant",21,21:44406603," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""ExAC""          
 [5] ""GnomAD_exomes""  ""GoESP""          ""GoNL""           ""MGP""           
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""TWINSUK""       
[13] ""ALFA""          
",V,,NC_000021.9
,2979160,snv,,8,8:8450156," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GoNL""           ""KOREAN""         ""Korea1K""        ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",N,,NC_000008.11
"[1] ""LINC01012""    ""LOC124901291""
",9468195,snv,"intron_variant,non_coding_transcript_variant",6,6:27708530," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""ALFA""          
",D,,NC_000006.12
,17425622,snv,,6,6:32604184," [1] ""1000Genomes""    ""GnomAD""         ""HapMap""         ""KOREAN""        
 [5] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
 [9] ""TOMMO""          ""TOPMED""         ""ALFA""          
",Y,,NC_000006.12
"[1] ""LOC107985355""
",849898,snv,"2KB_upstream_variant,upstream_transcript_variant",1,1:227966216," [1] ""1000Genomes""    ""ALSPAC""         ""GENOME_DK""      ""GoNL""          
 [5] ""HapMap""         ""KOREAN""         ""NorthernSweden"" ""PRJEB37584""    
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",V,,NC_000001.11
"[1] ""COL5A2""
",11186,snv,3_prime_UTR_variant,2,2:189032668," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""ALFA""          
",M,"benign,likely-benign",NC_000002.12
"[1] ""CFAP20DC-DT""
",6783485,snv,"intron_variant,genic_downstream_transcript_variant",3,3:59442071," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GoNL""          
 [5] ""HapMap""         ""KOREAN""         ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[13] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",V,,NC_000003.12
,1879553,snv,,3,3:118896616," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HGDP_Stanford""  ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""PRJEB36033""    
[13] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[17] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",R,,NC_000003.12
,13153459,snv,,5,5:44515833," [1] ""1000Genomes""    ""Estonian""       ""GENOME_DK""      ""GnomAD""        
 [5] ""GoNL""           ""HapMap""         ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""Vietnamese""     ""ALFA""          
",H,,NC_000005.10
,10746953,snv,,9,9:74302924," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HGDP_Stanford"" 
 [9] ""HapMap""         ""KOREAN""         ""Korea1K""        ""NorthernSweden""
[13] ""PRJEB36033""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[17] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[21] ""ALFA""          
",N,,NC_000009.12
"[1] ""MDGA2""
",9323124,snv,"intron_variant,genic_downstream_transcript_variant",14,14:46996974," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""MGP""            ""NorthernSweden"" ""PAGE_STUDY""    
[13] ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[17] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[21] ""ALFA""          
",W,,NC_000014.9
"[1] ""LOC105372063""
",1362858,snv,"intron_variant,non_coding_transcript_variant",18,18:35406636," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HGDP_Stanford"" 
 [9] ""HapMap""         ""KOREAN""         ""NorthernSweden"" ""PAGE_STUDY""    
[13] ""PRJEB36033""     ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""      
[17] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[21] ""Vietnamese""     ""ALFA""          
",V,,NC_000018.10
,111841435,snv,,X,X:23324255," [1] ""1000Genomes"" ""ALSPAC""      ""GENOME_DK""   ""KOREAN""      ""Qatari""     
 [6] ""SGDP_PRJ""    ""Siberian""    ""TOMMO""       ""TOPMED""      ""TWINSUK""    
[11] ""Vietnamese""  ""ALFA""       
",H,,NC_000023.11
"[1] ""DNASE1L1""
",28602900,snv,intron_variant,X,X:154405192,"[1] ""1000Genomes"" ""GnomAD""      ""HapMap""      ""KOREAN""      ""TOMMO""      
[6] ""TOPMED""      ""ALFA""       
",N,,NC_000023.11
"[1] ""GPM6B""
",7066890,snv,"intron_variant,genic_upstream_transcript_variant",X,X:13874463," [1] ""1000Genomes"" ""ALSPAC""      ""GENOME_DK""   ""KOREAN""      ""Qatari""     
 [6] ""SGDP_PRJ""    ""Siberian""    ""TOMMO""       ""TOPMED""      ""TWINSUK""    
[11] ""Vietnamese""  ""ALFA""       
",N,,NC_000023.11
,11796528,snv,,X,X:69159006," [1] ""1000Genomes"" ""ALSPAC""      ""GENOME_DK""   ""GnomAD""      ""HapMap""     
 [6] ""KOREAN""      ""Qatari""      ""SGDP_PRJ""    ""Siberian""    ""TOMMO""      
[11] ""TOPMED""      ""TWINSUK""     ""Vietnamese""  ""ALFA""       
",R,,NC_000023.11
"[1] ""RTL9""
",41306249,snv,"coding_sequence_variant,missense_variant",X,X:110454215," [1] ""1000Genomes""   ""ALSPAC""        ""ExAC""          ""GENOME_DK""    
 [5] ""GnomAD""        ""GnomAD_exomes"" ""GoESP""         ""MGP""          
 [9] ""SGDP_PRJ""      ""Siberian""      ""TOPMED""        ""TWINSUK""      
[13] ""ALFA""         
",Y,,NC_000023.11
"[1] ""SNCA""     ""SNCA-AS1""
",1372518,snv,"2KB_upstream_variant,5_prime_UTR_variant,intron_variant,upstream_transcript_variant,genic_upstream_transcript_variant",4,4:89836143," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",N,,NC_000004.12
"[1] ""SNCA""
",3796661,snv,"genic_downstream_transcript_variant,intron_variant",4,4:89766356," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HGDP_Stanford"" 
 [9] ""HapMap""         ""KOREAN""         ""NorthernSweden"" ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",B,,NC_000004.12
"[1] ""LRRK2""        ""LOC105369736""
",34778348,snv,"intron_variant,genic_downstream_transcript_variant,coding_sequence_variant,downstream_transcript_variant,missense_variant,non_coding_transcript_variant",12,12:40363526," [1] ""1000Genomes""   ""ExAC""          ""GnomAD""        ""GnomAD_exomes""
 [5] ""KOREAN""        ""PAGE_STUDY""    ""PRJEB36033""    ""PRJEB37584""   
 [9] ""SGDP_PRJ""      ""TOMMO""         ""TOPMED""        ""Vietnamese""   
[13] ""ALFA""         
",R,"conflicting-interpretations-of-pathogenicity,risk-factor",NC_000012.12
"[1] ""SLC41A1""
",708726,snv,intron_variant,1,1:205793011," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""PAGE_STUDY""    
[13] ""PRJEB36033""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[17] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[21] ""ALFA""          
",N,,NC_000001.11
"[1] ""ZNF322""
",2451713,snv,"upstream_transcript_variant,2KB_upstream_variant",6,6:26660427," [1] ""1000Genomes"" ""ALSPAC""      ""Estonian""    ""GnomAD""      ""HapMap""     
 [6] ""KOREAN""      ""Qatari""      ""SGDP_PRJ""    ""Siberian""    ""TOMMO""      
[11] ""TOPMED""      ""TWINSUK""     ""Vietnamese""  ""ALFA""       
",S,,NC_000006.12
"[1] ""RAB29""
",708723,snv,3_prime_UTR_variant,1,1:205770138," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""PRJEB36033""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",Y,,NC_000001.11
,139422381,snv,,5,5:10558686,"[1] ""1000Genomes"" ""KOREAN""      ""Korea1K""     ""TOMMO""       ""ALFA""       
",V,,NC_000005.10
,10746109,snv,,12,12:108067384," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""NorthernSweden"" ""PRJEB36033""     ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",N,,NC_000012.12
,12748961,snv,,1,1:205707135," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB36033""    
[13] ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[17] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[21] ""ALFA""          
",H,,NC_000001.11
"[1] ""LOC107986743""
",1949132,snv,"2KB_upstream_variant,upstream_transcript_variant",7,7:80250162," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",B,,NC_000007.14
